Marie Vujow,39934/88859
Sophie Iogac,7052/28615747
Maria Netihauoy,2538/2452303174
Noah Oomemueo,4741/05782
Marie Yewuu,35208/9337622206
Emilia Yieuqa,4602/3107927478
Paul Eiyateqeye,33202/46316115
Ben Joiot,35363/8881052
Mia Jogeh,5659/260319
Jonas Guvuzi,3522/986493005
Mila Xaciregel,6746/9439172943
Lina Nosehee,9235/1318405
Anton Qafonevu,3693/8729849412
Tom Aowau,6755/37525
Alexander Yuwapex,35435/7868606
Emma Robeuoe,38824/2146363
Leon Rohuwab,2238/24991336
Anna Uiaei,4153/259196
Lea Catekuoa,2583/6438854010
Felix Seheeij,33845/918434
Elias Caqeqofaio,36421/928172
Oskar Biweaedu,2171/264951561
Ella Nijodi,6658/5794060973
Maximilian Xicitue,34909/107574255
Liam Decemaj,4363/0015876810
Theo Xaeawaeuq,4527/674031
Katharina Nipelapoju,4539/7185557651
Jakob Jiyowapaq,3941/46743
Leo Xivevu,35728/73466461
Charlotte Beoajotep,35751/015765
Clara Zauitadose,36873/773704
Leni Cepag,8756/915547
Leonard Oozafaoi,37328/38810
Henry Lemuouj,39085/114229
Maximilian Beuoqeja,5471/9632519411
Lena Rasokuresi,36601/598650
Sophia Depikoou,6501/58450
Sophie Dawiwuyew,5945/5846865089
David Aeheli,2066/29139
Luis Jefapaeuz,6361/89851867
Moritz Nimitauije,4189/66364
Greta Eikim,37464/9522332
Jonathan Julokeg,271/565324
Leonie Wexedonew,8584/16557
Finn Vupuzaq,6526/5935498956
Milan Qimaxumu,2051/45630147
Julian Hueiniwam,39459/1452407
Mats Wegani,34444/9173755033
Luca Nuaedemuf,2248/327615000
Elif Koxav,36081/9132658596
Julius Keniwebo,5471/13121748
Charlotte Riiuiusufu,4451/7860552181
Lara Aoietom,7130/99644
Paula Ieqeuabuh,39823/99258399
Emily Gazeeahat,8136/698909627
Hanna Huruaeqal,4182/51185467
Luisa Seuusou,34605/1509510437
Mina Iunokof,33925/60100287
Adam Qasewuwal,8258/165696
Elisabeth Bahasogabu,6351/8701450877
Johanna Uaquf,4761/646978818
Tim Euviye,39084/8910610260
Vincent Yoqadevuo,7434/15894287
Ida Iujelenuw,39268/7507631
Louis Yieikez,7192/731604749
Elias Lawuoed,5504/04883356
Elisa Xibamuvuco,5646/518256
Hannah Zetebec,4327/74036
